Femur,Patella,QT
76.90229552,93.56793028,0
0,70.82023341,17.24992953
96.46267133,71.78657669,0
0,0,0
96.07826002,0,46.66898576
42.59754811,0,92.1229248
0,0,0
0,0,42.71974416
0,11.59599389,94.97263291
0,0,81.29695427
31.26676052,23.27189131,11.01346686
38.17114258,0,0
0,76.56338201,8.998904021
75.67878992,0,99.97735425
64.11256504,0,78.44939301
79.6549833,NaN,21.45389806
0,0,0
0,0,64.92866067
0,25.01382016,0
0,0,0
0,NaN,0
0,67.5901079,5.612740611
0,0,9.677491034
71.93484099,NaN,0
0,0,0
0,0,10.56060791
0,0,0
0,0,72.01199002
0,92.73116143,0
0,NaN,0
