All,Femur,Patella,QT,iteration
12.07271078,10.69432334,13.07102972,12.45277928,2999
12.03902254,11.1144795,12.50941497,12.49317315,3999
11.98397905,11.58567166,11.68044194,12.68582354,4999
12.53700444,11.36833161,13.03049489,13.21218681,5999
12.23104254,10.50029873,12.22613756,13.96669134,6999
12.21089079,11.35740563,12.154838,13.12042875,7999
12.69004277,11.6211496,10.68957023,15.75940847,8999
12.1725252,11.53097503,10.80125394,14.18534663,9999
12.07172816,10.76852257,11.68838948,13.75827242,10999
11.87710417,10.71564253,11.1910856,13.72458439,11999
12.04659973,11.58732876,11.51879086,13.03367956,12999
12.07127675,11.02176567,11.74821709,13.44384748,13999
11.98763944,11.29152781,11.04364465,13.62774587,14999
